rmse,train_time,predict_time,n_ins,n_outs,n_filters,n_kernels,n_epochs,n_batch,n_diff
15.127713764424541,0.38621997833251953,0.036405086517333984,5,1,64,3,10,10,96
14.928964160365032,0.3261690139770508,0.04394793510437012,5,1,64,3,10,20,96
15.324024111312605,0.3279380798339844,0.056214094161987305,5,1,64,3,10,30,96
15.228601823914264,0.4168510437011719,0.06648397445678711,5,1,64,3,10,50,96
15.506263977100051,0.5599257946014404,0.07909011840820312,5,1,64,3,20,10,96
15.542086587556598,0.4754371643066406,0.08410286903381348,5,1,64,3,20,20,96
15.482417896555688,0.4691901206970215,0.09535384178161621,5,1,64,3,20,30,96
15.01949538648578,0.46660399436950684,0.11222696304321289,5,1,64,3,20,50,96
15.713417690527626,1.1199719905853271,0.12261104583740234,5,1,64,3,50,10,96
15.687569186619887,0.8101100921630859,0.13712191581726074,5,1,64,3,50,20,96
15.66669028762322,0.7450239658355713,0.15767884254455566,5,1,64,3,50,30,96
15.630573009664213,0.71197509765625,0.17153310775756836,5,1,64,3,50,50,96
14.095107074013995,0.7721710205078125,0.19618606567382812,10,1,64,3,10,10,96
14.273035068938261,0.8051497936248779,0.21227002143859863,10,1,64,3,10,20,96
15.037974357532637,0.7304608821868896,0.23015904426574707,10,1,64,3,10,30,96
14.65261830926118,0.766510009765625,0.23674988746643066,10,1,64,3,10,50,96
13.906251713021305,1.009080171585083,0.2556929588317871,10,1,64,3,20,10,96
13.90870395119985,0.9345440864562988,0.2933211326599121,10,1,64,3,20,20,96
13.885523663565571,0.9152131080627441,0.29297494888305664,10,1,64,3,20,30,96
14.066480417916035,1.0397820472717285,0.2991330623626709,10,1,64,3,20,50,96
13.589738654702103,1.6150338649749756,0.3159518241882324,10,1,64,3,50,10,96
13.6096051721529,1.2877390384674072,0.32624101638793945,10,1,64,3,50,20,96
13.571831280610194,1.2466750144958496,0.342426061630249,10,1,64,3,50,30,96
13.686429441655038,1.1675901412963867,0.35723090171813965,10,1,64,3,50,50,96
14.16115374142847,1.1717369556427002,0.3717930316925049,10,1,64,5,10,10,96
13.6535582395671,1.113234043121338,0.3852550983428955,10,1,64,5,10,20,96
13.877176199717512,1.3051369190216064,0.42418408393859863,10,1,64,5,10,30,96
15.333523436512028,1.1692581176757812,0.41779112815856934,10,1,64,5,10,50,96
13.755484015249705,1.4367380142211914,0.43526601791381836,10,1,64,5,20,10,96
13.967276783287662,1.345318078994751,0.4528219699859619,10,1,64,5,20,20,96
13.932299858709701,1.3617730140686035,0.4664011001586914,10,1,64,5,20,30,96
14.108822442686417,1.3333168029785156,0.5007710456848145,10,1,64,5,20,50,96
14.05353593872478,2.0503392219543457,0.5167360305786133,10,1,64,5,50,10,96
13.86250691991531,1.7390120029449463,0.5177159309387207,10,1,64,5,50,20,96
13.741471345292126,1.678847074508667,0.5628859996795654,10,1,64,5,50,30,96
13.886930866749786,1.6026301383972168,0.5496139526367188,10,1,64,5,50,50,96
14.457183021818947,1.629150152206421,0.5689539909362793,20,1,64,3,10,10,96
14.74154467510692,1.5733139514923096,0.5811300277709961,20,1,64,3,10,20,96
15.739586638482056,1.6051459312438965,0.5952510833740234,20,1,64,3,10,30,96
16.125747269553347,1.596250057220459,0.6133749485015869,20,1,64,3,10,50,96
14.55603165347446,1.9261870384216309,0.6249451637268066,20,1,64,3,20,10,96
14.006790526144059,1.8709449768066406,0.6392009258270264,20,1,64,3,20,20,96
15.517545696250851,1.8272700309753418,0.6871578693389893,20,1,64,3,20,30,96
14.952184046857237,1.7974209785461426,0.6936399936676025,20,1,64,3,20,50,96
14.185518863284964,2.635396957397461,0.7441260814666748,20,1,64,3,50,10,96
14.66811776436282,2.30652117729187,0.7099189758300781,20,1,64,3,50,20,96
14.237509323248164,2.207949161529541,0.7779598236083984,20,1,64,3,50,30,96
14.359916949328538,2.346698045730591,0.7433319091796875,20,1,64,3,50,50,96
14.738301738955169,2.0736119747161865,0.7706120014190674,20,1,64,5,10,10,96
16.003409287188905,2.0371739864349365,0.778069019317627,20,1,64,5,10,20,96
15.488025880858945,2.0352511405944824,0.8193349838256836,20,1,64,5,10,30,96
15.140347028553222,2.0396881103515625,0.8269660472869873,20,1,64,5,10,50,96
14.135701535561935,2.389486074447632,0.826591968536377,20,1,64,5,20,10,96
14.833868610114656,2.276211977005005,0.8609180450439453,20,1,64,5,20,20,96
14.307584529570475,2.2582850456237793,0.8597431182861328,20,1,64,5,20,30,96
15.16028078672139,2.268321990966797,0.8793141841888428,20,1,64,5,20,50,96
14.628147918248398,3.1398990154266357,0.8915770053863525,20,1,64,5,50,10,96
14.54724952731742,2.8260090351104736,0.9153058528900146,20,1,64,5,50,20,96
15.113380091254431,2.699871063232422,0.9669411182403564,20,1,64,5,50,30,96
14.652196680545407,2.600287914276123,0.972545862197876,20,1,64,5,50,50,96
17.543463481800107,2.535339117050171,0.9957139492034912,50,1,64,3,10,10,96
15.709762320415566,2.9037790298461914,0.9985809326171875,50,1,64,3,10,20,96
15.753484527614415,2.5427169799804688,1.0493841171264648,50,1,64,3,10,30,96
15.651452529727116,2.5747759342193604,1.0269219875335693,50,1,64,3,10,50,96
17.546965398477067,2.9571430683135986,1.0536420345306396,50,1,64,3,20,10,96
16.626497879698732,2.8216450214385986,1.0616681575775146,50,1,64,3,20,20,96
17.13317328345452,2.816232919692993,1.0810790061950684,50,1,64,3,20,30,96
15.876462834461961,2.7796430587768555,1.1606860160827637,50,1,64,3,20,50,96
19.419910357602408,3.7128329277038574,1.138329029083252,50,1,64,3,50,10,96
19.214810683218868,3.3775010108947754,1.134993076324463,50,1,64,3,50,20,96
17.97958837829874,3.323330879211426,1.1555891036987305,50,1,64,3,50,30,96
17.783078288842795,3.183854818344116,1.1796989440917969,50,1,64,3,50,50,96
17.729145392215216,3.035921812057495,1.2217659950256348,50,1,64,5,10,10,96
16.741275070140617,3.0665910243988037,1.2721447944641113,50,1,64,5,10,20,96
16.18765665201959,3.0847201347351074,1.3169629573822021,50,1,64,5,10,30,96
16.520819809865742,3.096353054046631,1.2481200695037842,50,1,64,5,10,50,96
18.613067834283513,3.487699031829834,1.264880895614624,50,1,64,5,20,10,96
18.043057356337926,3.3165268898010254,1.3495070934295654,50,1,64,5,20,20,96
17.225249635350853,3.370245933532715,1.3103041648864746,50,1,64,5,20,30,96
16.86461754049825,3.3734748363494873,1.3544809818267822,50,1,64,5,20,50,96
20.00590207331191,4.3557000160217285,1.426069974899292,50,1,64,5,50,10,96
19.792867596802402,3.9988858699798584,1.3608379364013672,50,1,64,5,50,20,96
18.10973716323583,3.9759809970855713,1.4300260543823242,50,1,64,5,50,30,96
18.000629332920152,3.7465481758117676,1.4058001041412354,50,1,64,5,50,50,96
